Size,TimeTaken
6280,0.014800
6290,0.014500
6300,0.014900
6310,0.015300
6320,0.014600
6330,0.014900
6340,0.028200
6350,0.022500
6360,0.014800
6370,0.014800
6380,0.015300
6390,0.014900
6400,0.015000
6410,0.014800
6420,0.017100
6430,0.025100
6440,0.021100
6450,0.014800
6460,0.015000
6470,0.015000
6480,0.015000
6490,0.015200
6500,0.015700
6510,0.026700
6520,0.015700
6530,0.015500
6540,0.015100
6550,0.015100
6560,0.015100
6570,0.015700
6580,0.015100
6590,0.018400
6600,0.016300
6610,0.020300
6620,0.018200
6630,0.015700
6640,0.015600
6650,0.015300
6660,0.015400
6670,0.016800
6680,0.015900
6690,0.022800
6700,0.016100
6710,0.015500
6720,0.015500
6730,0.015600
6740,0.015700
6750,0.032100
6760,0.033000
6770,0.022400
6780,0.020600
6790,0.021700
6800,0.017300
6810,0.016700
6820,0.015700
6830,0.025400
6840,0.016300
6850,0.019000
6860,0.016700
6870,0.015900
6880,0.016000
6890,0.015800
6900,0.015900
6910,0.027600
6920,0.018000
6930,0.016000
6940,0.018200
6950,0.016000
6960,0.016000
6970,0.016700
6980,0.018400
6990,0.016000
7000,0.016100
7010,0.017300
7020,0.016500
7030,0.016700
7040,0.016800
7050,0.016200
7060,0.016300
7070,0.016400
7080,0.017000
7090,0.016500
7100,0.016600
7110,0.016500
7120,0.016400
7130,0.016500
7140,0.016600
7150,0.016300
7160,0.016900
7170,0.016600
7180,0.016700
7190,0.017200
7200,0.016700
7210,0.016700
7220,0.016800
7230,0.016600
7240,0.016700
7250,0.016700
7260,0.017100
7270,0.016700
7280,0.016900
7290,0.016800
7300,0.017200
7310,0.017000
7320,0.017800
7330,0.017000
7340,0.017000
7350,0.017000
7360,0.017100
7370,0.016900
7380,0.017700
7390,0.017200
7400,0.018000
7410,0.017100
7420,0.017000
7430,0.017400
7440,0.017100
7450,0.018100
7460,0.018100
7470,0.017500
7480,0.017100
7490,0.017100
7500,0.017500
7510,0.017700
7520,0.017300
7530,0.021200
7540,0.018500
7550,0.017500
7560,0.018000
7570,0.017800
7580,0.017500
7590,0.017400
7600,0.018500
7610,0.017300
7620,0.021000
7630,0.017800
7640,0.017600
7650,0.018300
7660,0.017700
7670,0.018000
7680,0.018600
7690,0.020500
7700,0.017500
7710,0.018000
7720,0.017600
7730,0.018100
7740,0.017600
7750,0.018500
7760,0.017800
7770,0.017900
7780,0.018200
7790,0.019100
7800,0.018000
7810,0.018000
7820,0.018700
7830,0.017900
7840,0.018000
7850,0.018000
7860,0.018000
7870,0.018000
7880,0.018000
7890,0.019000
7900,0.024200
7910,0.018200
7920,0.027500
7930,0.022100
7940,0.039100
7950,0.020800
7960,0.018200
7970,0.018300
7980,0.018400
7990,0.018400
8000,0.018900
8010,0.018600
8020,0.018900
8030,0.018600
8040,0.018500
8050,0.018600
8060,0.018700
8070,0.021900
8080,0.019100
8090,0.020000
8100,0.020400
8110,0.018900
8120,0.018800
8130,0.018800
8140,0.018700
8150,0.019000
8160,0.020600
8170,0.018800
8180,0.018800
8190,0.019000
8200,0.019000
8210,0.019400
8220,0.019100
8230,0.019500
8240,0.018800
8250,0.019300
8260,0.020000
8270,0.019000
8280,0.020100
8290,0.019100
8300,0.019200
8310,0.019400
8320,0.019400
8330,0.019200
8340,0.019000
8350,0.019200
8360,0.019400
8370,0.020500
8380,0.019300
8390,0.019400
8400,0.019300
8410,0.020000
8420,0.019900
8430,0.019600
8440,0.019900
8450,0.019200
8460,0.019500
8470,0.019500
8480,0.021500
8490,0.019600
8500,0.020200
8510,0.021200
8520,0.020000
8530,0.019500
8540,0.019100
8550,0.019800
8560,0.019500
8570,0.020700
8580,0.019400
8590,0.019700
8600,0.020300
8610,0.019700
8620,0.020200
8630,0.019800
8640,0.019900
8650,0.020400
8660,0.019800
8670,0.020100
8680,0.020100
8690,0.020400
8700,0.020100
8710,0.020900
8720,0.020700
8730,0.020200
8740,0.020400
8750,0.020200
8760,0.020500
8770,0.020200
8780,0.020300
8790,0.020200
8800,0.020400
8810,0.020300
8820,0.020600
8830,0.020300
8840,0.020100
8850,0.021300
8860,0.020400
8870,0.021000
8880,0.020300
8890,0.020500
8900,0.020500
8910,0.020800
8920,0.021400
8930,0.023000
8940,0.020700
8950,0.022000
8960,0.023500
8970,0.020500
8980,0.020200
8990,0.020700
9000,0.021300
9010,0.023500
9020,0.020900
9030,0.020600
9040,0.020800
9050,0.020900
9060,0.021500
9070,0.021100
9080,0.021600
9090,0.021200
9100,0.022000
9110,0.021400
9120,0.021000
9130,0.021000
9140,0.022100
9150,0.021800
9160,0.021000
9170,0.021100
9180,0.021300
9190,0.021500
9200,0.021200
9210,0.021300
9220,0.021000
9230,0.021200
9240,0.021700
9250,0.021300
9260,0.021400
9270,0.021400
9280,0.021200
9290,0.021400
9300,0.021300
9310,0.021400
9320,0.022200
9330,0.022000
9340,0.022300
9350,0.022300
9360,0.021700
9370,0.021500
9380,0.021800
9390,0.021700
9400,0.021400
9410,0.021700
9420,0.021500
9430,0.022900
9440,0.021900
9450,0.023100
9460,0.022000
9470,0.022200
9480,0.027400
9490,0.023700
9500,0.022200
9510,0.022300
9520,0.021900
9530,0.022200
9540,0.021900
9550,0.022100
9560,0.024000
9570,0.021800
9580,0.022200
9590,0.023500
9600,0.022600
9610,0.022400
9620,0.022800
9630,0.022100
9640,0.022200
9650,0.022200
9660,0.022300
9670,0.022100
9680,0.022700
9690,0.023500
9700,0.022100
9710,0.022300
9720,0.022200
9730,0.023100
9740,0.023900
9750,0.022400
9760,0.022600
9770,0.023100
9780,0.023600
9790,0.022600
9800,0.023200
9810,0.022300
9820,0.022700
9830,0.044700
9840,0.024700
9850,0.023500
9860,0.023800
9870,0.023400
9880,0.023200
9890,0.023100
9900,0.023000
9910,0.023700
9920,0.022500
9930,0.022800
9940,0.023000
9950,0.023000
9960,0.023400
9970,0.023000
9980,0.022900
9990,0.024000
10000,0.023600
